director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combined
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,emma stone andrew garfield b.j. novak marc webb action adventur fantasi sci-fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,joe mantegna thoma kretschmann eddi izzard john lasset adventur anim comedi famili sport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,ryan reynold temuera morrison taika waititi martin campbel action adventur sci-fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,tom hank john ratzenberg don rickl lee unkrich adventur anim comedi famili fantasi
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,christian bale bryce dalla howard common mcg action adventur sci-fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,jason statham paul walker vin diesel jame wan action crime thriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,peter capaldi brad pitt mireil eno marc forster action adventur horror sci-fi thriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,jennif lawrenc peter dinklag hugh jackman bryan singer action adventur fantasi sci-fi thriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,benedict cumberbatch bruce greenwood noel clark j.j. abram action adventur sci-fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,eddi marsan ewen bremner ralph brown bryan singer adventur fantasi
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,jake gyllenha richard coyl reec ritchi mike newel action adventur fantasi romanc
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,charli hunnam clifton collin jr. larri joe campbel guillermo del toro action adventur sci-fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,glenn morshow lester speight kevin dunn michael bay action adventur sci-fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,harrison ford ray winston jim broadbent steven spielberg action adventur fantasi
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,a.j. buckley jack mcgraw peter sohn peter sohn adventur anim comedi famili fantasi
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,kelli macdonald john ratzenberg juli walter mark andrew adventur anim comedi famili fantasi
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,sofia boutella melissa roxburgh lydia wilson justin lin action adventur sci-fi thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,john ratzenberg fred willard jeff garlin andrew stanton adventur anim famili sci-fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,tzi ma dana ivey noémi lenoir brett ratner action comedi crime thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,oliv platt liam jame tom mccarthi roland emmerich action adventur sci-fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,robin wright colin firth gari oldman robert zemecki anim drama famili fantasi
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,chan tatum mila kuni eddi redmayn lana wachowski action adventur sci-fi
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",jim broadbent kiran shah shane rangi andrew adamson adventur famili fantasi
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,jennif lawrenc michael fassbend tye sheridan bryan singer action adventur sci-fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,christian bale heath ledger morgan freeman christoph nolan action crime drama thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,john ratzenberg delroy lindo jess harnel pete docter adventur anim comedi famili
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,ami poehler rainn wilson stephen colbert rob letterman action adventur anim comedi famili sci-fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,robert downey jr. jeff bridg jon favreau jon favreau action adventur sci-fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,chloë grace moretz christoph lee ray winston martin scorses adventur drama famili mysteri
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,will smith salma hayek bai ling barri sonnenfeld action comedi sci-fi western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,jet li brendan fraser russel wong rob cohen action adventur fantasi horror thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,will smith robin atkin down ike barinholtz david ayer action adventur comedi sci-fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,jimmi bennett morgan freeman steve carel tom shadyac comedi famili fantasi
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,tom cruis lara pulver noah taylor doug liman action adventur sci-fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,jeann tripplehorn rick avil zake moka kevin reynold action adventur sci-fi thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,joseph gordon-levitt denni quaid leo howard stephen sommer action adventur sci-fi thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,ami poehler mindi kale phylli smith pete docter adventur anim comedi drama famili fantasi
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,robert downey jr. scarlett johansson jon favreau jon favreau action adventur sci-fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,chri hemsworth kristen stewart sam claflin rupert sander action adventur drama fantasi
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,angelina joli pitt sharlto copley sam riley robert stromberg action adventur famili fantasi romanc
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,gari oldman judi greer kodi smit-mcphe matt reev action adventur drama sci-fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,keanu reev cary-hiroyuki tagawa jin akanishi carl rinsch action adventur drama fantasi
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,scarlett johansson chri evan hayley atwel anthoni russo action adventur sci-fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,jon hamm kathi griffin mari kay place mike mitchel adventur anim comedi famili fantasi
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,judi greer chri bauer thoma robinson brad bird action adventur famili mysteri sci-fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,damon wayan jr. daniel henney abraham benrubi don hall action adventur anim comedi drama famili sci-fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,jack mcbrayer sarah silverman joe lo truglio rich moor adventur anim comedi famili sci-fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,tom hank eddi deezen peter scolari robert zemecki adventur anim famili fantasi
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,vivica a. fox sela ward judd hirsch roland emmerich action adventur sci-fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,gerard butler america ferrera craig ferguson dean debloi adventur anim famili fantasi
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,nick stahl m.c. gainey carolyn hennesi jonathan mostow action sci-fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,bradley cooper vin diesel djimon hounsou jame gunn action adventur sci-fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,matthew mcconaughey ann hathaway mackenzi foy christoph nolan adventur drama sci-fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,leonardo dicaprio tom hardi joseph gordon-levitt christoph nolan action adventur sci-fi thriller
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,aidan turner adam brown jame nesbitt peter jackson adventur fantasi
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,brad pitt jason flemyng julia ormond david fincher drama fantasi romanc
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,jennif lawrenc michael fassbend oliv platt matthew vaughn action adventur sci-fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,jennif lawrenc philip seymour hoffman josh hutcherson franci lawrenc adventur sci-fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,nicola cage omar benson miller robert capron jon turteltaub action adventur famili fantasi
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,jimmi bennett mike vogel andr braugher wolfgang petersen action adventur drama thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,johnni depp alan rickman ann hathaway jame bobin adventur famili fantasi
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,justin timberlak eric idl rupert everett chri miller adventur anim comedi famili fantasi
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,domin cooper callum renni ruth negga duncan jone action adventur fantasi
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,j.k. simmon emilia clark matt smith alan taylor action adventur sci-fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,bruce spenc shane rangi laura brent michael apt adventur famili fantasi
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,jennif garner jaim king mako michael bay action drama histori romanc war
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,zack ward michael o'neil kevin dunn michael bay action adventur sci-fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,anthoni hopkin angelina joli pitt brian bless oliv stone action adventur biographi drama histori romanc war
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,robert pattinson daniel radcliff fiona shaw david yate adventur famili fantasi mysteri
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,robert pattinson daniel radcliff rupert grint mike newel adventur famili fantasi mysteri
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,will smith charliz theron eddi marsan peter berg action drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,will smith alic braga willow smith franci lawrenc drama horror sci-fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,johnni depp christoph lee david kelli tim burton adventur comedi famili fantasi
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,janean garofalo john ratzenberg brian dennehi brad bird anim comedi famili fantasi
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,christian bale liam neeson morgan freeman christoph nolan action adventur
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,berni mac jada pinkett smith cedric the entertain eric darnel action adventur anim comedi famili
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,robin william rami malek steve coogan shawn levi adventur comedi famili fantasi
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,hugh jackman ryan reynold domin monaghan gavin hood action adventur fantasi sci-fi thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,essi davi collin chou nona gay lana wachowski action sci-fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,josh gad mauric lamarch livvi stubenrauch chri buck adventur anim comedi famili fantasi music
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,steve bastoni daniel bernhardt helmut bakaiti lana wachowski action sci-fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,chri hemsworth natali portman anthoni hopkin alan taylor action adventur fantasi
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,tom hardi charliz theron zoë kravitz georg miller action adventur sci-fi thriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,tom hank ayelet zurer armin mueller-stahl ron howard mysteri thriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,chri hemsworth natali portman anthoni hopkin kenneth branagh action adventur fantasi
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,chloë grace moretz diedrich bader jame lipton byron howard adventur anim comedi drama famili
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,kelli garner piper mackenzi harri nieci nash hoyt yeatman action adventur anim comedi famili fantasi sci-fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,liam neeson edgar ramírez lili jame jonathan liebesman action adventur fantasi
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,johnni depp chloë grace moretz christoph lee tim burton comedi fantasi horror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,tom cruis jeremi renner sean harri christoph mcquarri action adventur thriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,anthoni hopkin simon merrel art malik joe johnston drama fantasi horror thriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,christoph waltz alexand skarsgård casper crump david yate action adventur drama romanc
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,matthew broderick oprah winfrey rip torn steve hickner adventur anim comedi famili
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2,angelina joli pitt gari oldman mike bell jennif yuh nelson action adventur anim comedi famili
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender,seychel gabriel noah ringer aasif mandvi m. night shyamalan action adventur famili fantasi
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii,philip seymour hoffman tom cruis eddi marsan j.j. abram action adventur thriller
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down,chan tatum jake weber matt craven roland emmerich action drama thriller
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,elisabeth harnoi dan fogler tom everett scott simon well action adventur anim comedi famili sci-fi
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,flushed away,hugh jackman kate winslet david suchet david bower adventur anim comedi famili
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,ty burrel zach callison karan brar rob minkoff adventur anim comedi famili sci-fi
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy,brad pitt orlando bloom julian glover wolfgang petersen adventur
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,jada pinkett smith martin short cedric the entertain eric darnel adventur anim comedi famili
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day,tobi stephen colin salmon rick yune lee tamahori action adventur thriller
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon,bruce willi steve buscemi will patton michael bay action adventur sci-fi thriller
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii,will smith rosario dawson rip torn barri sonnenfeld action adventur comedi famili fantasi mysteri sci-fi
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy,beowulf,robin wright anthoni hopkin sebastian roché robert zemecki action adventur anim fantasi
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family,kung fu panda 3,j.k. simmon angelina joli pitt wayn knight alessandro carloni action adventur anim comedi famili
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller,mission: impossible - ghost protocol,tom cruis jeremi renner michael nyqvist brad bird action adventur thriller
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy,rise of the guardians,hugh jackman kamil mcfadden khamani griffin peter ramsey adventur anim famili fantasi
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime,fun with dick and jane,john michael higgin richard burgi david herman dean parisot comedi crime
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War,the last samurai,tom cruis toni goldwyn chad lindberg edward zwick action drama histori war
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi,star trek,chri hemsworth leonard nimoy bruce greenwood j.j. abram action adventur sci-fi
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man,j.k. simmon jame franco kirsten dunst sam raimi action adventur fantasi romanc
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2,gerard butler djimon hounsou america ferrera dean debloi action adventur anim comedi famili fantasi
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy,gods of egypt,gerard butler elodi yung bryan brown alex proya action adventur fantasi
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller,stealth,sam shepard joe morton richard roxburgh rob cohen action adventur sci-fi thriller
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi,watchmen,matt frewer billi crudup stephen mchatti zack snyder action drama mysteri sci-fi
Richard Donner,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller,lethal weapon 4,jet li rene russo darlen love richard donner action crime thriller
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi,hulk,kevin rankin regi davi celia weston ang lee action sci-fi
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation,chan tatum dwayn johnson elodi yung jon m. chu action adventur sci-fi thriller
